,Schneider.Xr.A,Schneider.Xr.R,Schneider.Xr.N,Schneider.Xr.D,Schneider.Xr.C,Schneider.Xr.Q,Schneider.Xr.E,Schneider.Xr.G,Schneider.Xr.H,Schneider.Xr.I,Schneider.Xr.L,Schneider.Xr.K,Schneider.Xr.M,Schneider.Xr.F,Schneider.Xr.P,Schneider.Xr.S,Schneider.Xr.T,Schneider.Xr.W,Schneider.Xr.Y,Schneider.Xr.V,Grantham.Xr.A,Grantham.Xr.R,Grantham.Xr.N,Grantham.Xr.D,Grantham.Xr.C,Grantham.Xr.Q,Grantham.Xr.E,Grantham.Xr.G,Grantham.Xr.H,Grantham.Xr.I,Grantham.Xr.L,Grantham.Xr.K,Grantham.Xr.M,Grantham.Xr.F,Grantham.Xr.P,Grantham.Xr.S,Grantham.Xr.T,Grantham.Xr.W,Grantham.Xr.Y,Grantham.Xr.V,Schneider.Xd.1,Schneider.Xd.2,Schneider.Xd.3,Schneider.Xd.4,Schneider.Xd.5,Grantham.Xd.1,Grantham.Xd.2,Grantham.Xd.3,Grantham.Xd.4,Grantham.Xd.5
sp|P24125|V51K_BPL79,0.06524234608601365,0.038245513222835585,0.042744985366698594,0.05624340179828763,0.015748152503520536,0.047244457510561604,0.06524234608601365,0.06299261001408214,0.03149630500704107,0.07199155430180816,0.0877397068053287,0.11248680359657526,0.02249736071931505,0.033746041078972576,0.033746041078972576,0.06749208215794515,0.042744985366698594,0.020247624647383545,0.038245513222835585,0.06074287394215064,2.487558668320636e-06,1.4582240469465797e-06,1.629779817175589e-06,2.144447127862617e-06,6.004451958015328e-07,1.8013355874045985e-06,2.487558668320636e-06,2.4017807832061313e-06,1.2008903916030656e-06,2.74489232366415e-06,3.345337519465683e-06,4.288894255725234e-06,8.577788511450469e-07,1.2866682767175703e-06,1.2866682767175703e-06,2.5733365534351407e-06,1.629779817175589e-06,7.720009660305422e-07,1.4582240469465797e-06,2.3160028980916266e-06,0.2062310953482705,0.19817682086148847,0.1965209667432214,0.19583701548104923,0.20098436549403895,0.20547663489754026,0.20209569955575205,0.19361758494680464,0.202355606547649,0.19645438827436898
sp|P68654|TERS_BPP21,0.10891500187841116,0.08025315927882928,0.034394211119498266,0.07452079075891291,0.005732368519916377,0.05732368519916377,0.09745026483857841,0.05732368519916377,0.005732368519916377,0.06878842223899653,0.08598552779874566,0.07452079075891291,0.011464737039832754,0.028661842599581884,0.034394211119498266,0.05732368519916377,0.05159131667924739,0.017197105559749133,0.02292947407966551,0.06878842223899653,4.494804124716148e-06,3.3119609340013715e-06,1.4194118288577306e-06,3.0753922958584166e-06,2.3656863814295512e-07,2.3656863814295513e-06,4.021666848430237e-06,2.3656863814295513e-06,2.3656863814295512e-07,2.838823657715461e-06,3.548529572144327e-06,3.0753922958584166e-06,4.7313727628591023e-07,1.1828431907147756e-06,1.4194118288577306e-06,2.3656863814295513e-06,2.129117743286596e-06,7.097059144288653e-07,9.462745525718205e-07,2.838823657715461e-06,0.22329950305352103,0.20211308460062766,0.17571818738540598,0.20480857325698404,0.1883282831835449,0.21989078572251491,0.20711868151781493,0.19317331515224492,0.19739464593126782,0.18242233510751926
sp|Q37873|RUSA_BP82,0.06749316917453495,0.10967639990861928,0.05905652302771808,0.07592981532135182,0.008436646146816868,0.025309938440450604,0.042183230734084344,0.06749316917453495,0.033746584587267474,0.06749316917453495,0.07592981532135182,0.05061987688090121,0.05061987688090121,0.016873292293633737,0.05061987688090121,0.033746584587267474,0.05905652302771808,0.016873292293633737,0.042183230734084344,0.05905652302771808,2.7752631773398373e-06,4.509802663177235e-06,2.4283552801723575e-06,3.122171074507317e-06,3.4690789716747966e-07,1.0407236915024389e-06,1.7345394858373984e-06,2.7752631773398373e-06,1.3876315886699187e-06,2.7752631773398373e-06,3.122171074507317e-06,2.0814473830048778e-06,2.0814473830048778e-06,6.938157943349593e-07,2.0814473830048778e-06,1.3876315886699187e-06,2.4283552801723575e-06,6.938157943349593e-07,1.7345394858373984e-06,2.4283552801723575e-06,0.220728677599123,0.1845845711281762,0.21039242776924275,0.18996591961950798,0.1858917577371332,0.21713225464635427,0.19312293253734159,0.2070247461544826,0.203826428796547,0.17889329095737733
sp|P03692|PRIM_BPT7,0.06880356589468276,0.05020800754476849,0.04648889587478564,0.07624178923464846,0.024174225854888536,0.03161244919485424,0.0799609009046313,0.10041601508953699,0.027893337524871387,0.05020800754476849,0.08182045673962274,0.07066312172967418,0.03161244919485424,0.03533156086483709,0.02231467001989711,0.08553956840960558,0.05206756337975992,0.01859555834991426,0.027893337524871387,0.07066312172967418,2.4602170436722107e-06,1.795293518355397e-06,1.6623088132920341e-06,2.726186453798936e-06,8.644005829118578e-07,1.1303699930385833e-06,2.859171158862299e-06,3.590587036710794e-06,9.973852879752204e-07,1.795293518355397e-06,2.92566351139398e-06,2.526709396203892e-06,1.1303699930385833e-06,1.263354698101946e-06,7.979082303801764e-07,3.058648216457343e-06,1.8617858708870782e-06,6.649235253168137e-07,9.973852879752204e-07,2.526709396203892e-06,0.19290240805237652,0.20316101507838408,0.20517557604955722,0.1984246622119848,0.19847678277270583,0.19128257331521595,0.2046551495484488,0.20090687589770911,0.19947050809831973,0.20368482664795395
sp|P11124|RDRP_BPPH6,0.09237766262884438,0.0684868878110398,0.039817958029674305,0.06689416948985283,0.011149028248308804,0.03026164810255247,0.06530145116866586,0.07804319773816164,0.02229805649661761,0.04141067635086128,0.10034125423477924,0.05893057788391797,0.039817958029674305,0.04778154963560916,0.057337859562731,0.07326504277460072,0.04459611299323522,0.019112619854243666,0.04459611299323522,0.057337859562731,3.380468034541972e-06,2.506209060091462e-06,1.45709829075085e-06,2.447925128461428e-06,4.07987521410238e-07,1.107394700970646e-06,2.389641196831394e-06,2.855912649871666e-06,8.15975042820476e-07,1.515382222380884e-06,3.671887692692142e-06,2.156505470311258e-06,1.45709829075085e-06,1.74851794890102e-06,2.098221538681224e-06,2.681060854981564e-06,1.631950085640952e-06,6.99407179560408e-07,1.631950085640952e-06,2.098221538681224e-06,0.194037884334279,0.20935272707858943,0.20053808395763,0.1928992651372862,0.20157932117102836,0.2022212297763864,0.21082938763258682,0.20419300432539628,0.18664301310441347,0.19611330687728537
sp|P69547|REP_BPM13,0.07668253959633707,0.05477324256881219,0.06572789108257462,0.06298922895413402,0.016431972770643656,0.038341269798168535,0.04655725618349036,0.04655725618349036,0.024647959155965484,0.06025056682569341,0.12871712003670865,0.0575119046972528,0.019170634899084268,0.06846655321101523,0.04381859405504975,0.12597845790826803,0.06025056682569341,0.013693310642203048,0.041079931926609144,0.07120521533945584,2.56003616233939e-06,1.8285972588138502e-06,2.1943167105766204e-06,2.102886847635928e-06,5.485791776441551e-07,1.280018081169695e-06,1.5543076699917727e-06,1.5543076699917727e-06,8.228687664662326e-07,2.0114569846952353e-06,4.297203558212548e-06,1.9200271217545427e-06,6.400090405848475e-07,2.285746573517313e-06,1.4628778070510802e-06,4.205773695271856e-06,2.0114569846952353e-06,4.5714931470346254e-07,1.3714479441103876e-06,2.3771764364580055e-06,0.21825423171978559,0.20641576490259497,0.18905475440878938,0.1975603817008151,0.18597620513957439,0.21411337879012782,0.204333034921499,0.1911435457534006,0.19431780773497556,0.1960921413701341
sp|Q9G050|REP_BPPHM,0.05565636933856104,0.05874838985736998,0.04638030778213419,0.06493243089498787,0.012368082075235785,0.037104246225707356,0.05565636933856104,0.04638030778213419,0.043288287263325245,0.05565636933856104,0.08039253348903261,0.10822071815831312,0.018552123112853678,0.043288287263325245,0.040196266744516304,0.05565636933856104,0.040196266744516304,0.021644143631662623,0.05565636933856104,0.03401222570689841,2.284588962465346e-06,2.4115105714911982e-06,1.903824135387788e-06,2.6653537895429036e-06,5.076864361034102e-07,1.5230593083102305e-06,2.284588962465346e-06,1.903824135387788e-06,1.7769025263619356e-06,2.284588962465346e-06,3.2999618346721664e-06,4.442256315904839e-06,7.615296541551153e-07,1.7769025263619356e-06,1.6499809173360832e-06,2.284588962465346e-06,1.6499809173360832e-06,8.884512631809678e-07,2.284588962465346e-06,1.3961376992843779e-06,0.20450895345404965,0.216235074867201,0.2019703489517381,0.1795679908705249,0.19462561133767742,0.20801893264257518,0.21089326286137916,0.1953306428490652,0.1907299249042916,0.1950271098210799
sp|P32282|RIR1_BPT4,0.07760444377358766,0.05173629584905844,0.05317341517819896,0.06467036981132306,0.018682551278826662,0.04167646054507486,0.07760444377358766,0.06323325048218253,0.018682551278826662,0.07904156310272818,0.07760444377358766,0.07760444377358766,0.028742386582810246,0.037365102557653324,0.04742493786163691,0.07760444377358766,0.05029917651991793,0.015808312620545634,0.06610748914046356,0.058921892494761006,2.7847017151287276e-06,1.8564678100858183e-06,1.90803636036598e-06,2.320584762607273e-06,6.70391153642101e-07,1.495487958124687e-06,2.7847017151287276e-06,2.269016212327111e-06,6.70391153642101e-07,2.836270265408889e-06,2.7847017151287276e-06,2.7847017151287276e-06,1.0313710056032325e-06,1.340782307284202e-06,1.7017621592453334e-06,2.7847017151287276e-06,1.8048992598056567e-06,5.672540530817778e-07,2.3721533128874343e-06,2.1143105614866263e-06,0.20180961591675986,0.2056609153603807,0.19110731138676634,0.19698767889264096,0.20299735911431163,0.20481032468384353,0.20495757867916853,0.19446866447355934,0.19716471985075648,0.1985986607441218
sp|P07541|PKG16_BPPZA,0.044995004027936686,0.0739203637601817,0.0932039369150117,0.0739203637601817,0.006427857718276669,0.025711430873106678,0.051422861746213355,0.04820893288707502,0.012855715436553339,0.07070643490104336,0.0835621503375967,0.0642785771827667,0.03213928859138335,0.07713429261932003,0.03535321745052168,0.07070643490104336,0.03535321745052168,0.009641786577415004,0.06749250604190503,0.08999000805587337,1.6140846874495057e-06,2.6517105579527596e-06,3.343461138288262e-06,2.6517105579527596e-06,2.3058352677850083e-07,9.223341071140033e-07,1.8446682142280067e-06,1.7293764508387562e-06,4.6116705355700166e-07,2.536418794563509e-06,2.997585848120511e-06,2.3058352677850083e-06,1.1529176338925041e-06,2.76700232134201e-06,1.2682093972817546e-06,2.536418794563509e-06,1.2682093972817546e-06,3.4587529016775126e-07,2.4211270311742587e-06,3.2281693748990115e-06,0.19747980250600003,0.208073926020275,0.1938533080270717,0.1936506633846454,0.20372837120286955,0.2005241970606019,0.20752528939241413,0.20890781057309635,0.18192700152121719,0.20111558616090708
sp|B3FK34|PHUZ_BP201,0.06143080918775802,0.046976501143579666,0.06504438619880261,0.09756657929820392,0.018067885055222947,0.03613577011044589,0.05420365516566884,0.07949869424298096,0.028908616088356716,0.08311227125402555,0.08672584826507015,0.06504438619880261,0.032522193099401304,0.032522193099401304,0.046976501143579666,0.05420365516566884,0.07588511723193637,0.0036135770110445895,0.025295039077312127,0.14454308044178357,2.170099689911902e-06,1.6594879981679252e-06,2.2977526128478964e-06,3.4466289192718448e-06,6.382646146799712e-07,1.2765292293599424e-06,1.914793844039914e-06,2.8083643045918734e-06,1.021223383487954e-06,2.936017227527868e-06,3.063670150463862e-06,2.2977526128478964e-06,1.1488763064239482e-06,1.1488763064239482e-06,1.6594879981679252e-06,1.914793844039914e-06,2.680711381655879e-06,1.2765292293599424e-07,8.935704605519597e-07,5.10611691743977e-06,0.1992776351147612,0.2058508654002006,0.1841489522948391,0.19406297066275952,0.21304599951639502,0.20475669257148707,0.2000484698148388,0.18786527484982748,0.19242376072787185,0.2149056743830518
sp|Q6QGH9|OBP_BPT5,0.07434145666387794,0.05214997706272034,0.0488212551225467,0.07212230870376218,0.011095739800578796,0.02773934950144699,0.0710127347237043,0.057697846963009745,0.02441062756127335,0.07323188268382005,0.08432762248439886,0.07988932656416733,0.03106807144162063,0.05325955104277823,0.041054237262141545,0.07323188268382005,0.04993082910260459,0.008876591840463037,0.03994466328208367,0.05547869900289398,2.805178921324549e-06,1.9678120791381167e-06,1.8422070528101517e-06,2.721442237105906e-06,4.186834210932163e-07,1.0467085527330407e-06,2.6795738949965843e-06,2.1771537896847246e-06,9.211035264050759e-07,2.7633105792152275e-06,3.181994000308444e-06,3.0145206318711574e-06,1.1723135790610056e-06,2.0096804212474383e-06,1.5491286580449003e-06,2.7633105792152275e-06,1.8840753949194733e-06,3.3494673687457304e-07,1.5072603159355787e-06,2.0934171054660814e-06,0.1938439041405263,0.2069233513983924,0.2056283531818051,0.1963220882489435,0.19617272905027477,0.20074538628140645,0.203364816302963,0.19882151502731207,0.19576261395280503,0.2013056265671713
sp|P27381|PKG9_BPPRD,0.0707613163083273,0.06132647413388367,0.03773936869777456,0.0943484217444364,0.00943484217444364,0.06132647413388367,0.0235871054361091,0.06604389522110549,0.028304526523330924,0.08019615848277095,0.0943484217444364,0.07547873739554913,0.03302194761055274,0.0471742108722182,0.06604389522110549,0.03302194761055274,0.05660905304666185,0.01886968434888728,0.028304526523330924,0.08491357956999276,2.658299992344096e-06,2.3038599933648833e-06,1.4177599959168512e-06,3.544399989792128e-06,3.544399989792128e-07,2.3038599933648833e-06,8.86099997448032e-07,2.4810799928544895e-06,1.0633199969376383e-06,3.0127399913233085e-06,3.544399989792128e-06,2.8355199918337023e-06,1.2405399964272447e-06,1.772199994896064e-06,2.4810799928544895e-06,1.2405399964272447e-06,2.1266399938752766e-06,7.088799979584256e-07,1.0633199969376383e-06,3.189959990812915e-06,0.18600969193690617,0.1913586389024956,0.1940433326780758,0.2147431641248561,0.20912775127044445,0.19149445017849598,0.1942631582305221,0.19317405272365873,0.2141845469831485,0.20688361466417518
sp|P13300|KITH_BPT4,0.10030229263325852,0.03695347623330577,0.03167440819997637,0.06334881639995274,0.03167440819997637,0.03167440819997637,0.07390695246661154,0.05806974836662335,0.026395340166646977,0.08446508853327032,0.08974415656659972,0.08974415656659972,0.03695347623330577,0.03695347623330577,0.015837204099988185,0.047511612299964555,0.047511612299964555,0.01055813606665879,0.03167440819997637,0.07390695246661154,3.5294909870267983e-06,1.3003387846940835e-06,1.1145761011663574e-06,2.2291522023327148e-06,1.1145761011663574e-06,1.1145761011663574e-06,2.600677569388167e-06,2.0433895188049884e-06,9.288134176386312e-07,2.9722029364436197e-06,3.157965619971346e-06,3.157965619971346e-06,1.3003387846940835e-06,1.3003387846940835e-06,5.572880505831787e-07,1.6718641517495362e-06,1.6718641517495362e-06,3.7152536705545246e-07,1.1145761011663574e-06,2.600677569388167e-06,0.19150514016255568,0.21524832406087044,0.1851324260814996,0.1941047697039565,0.20873027195778848,0.20138216724678804,0.2029819554773288,0.1872645748240479,0.20322967001581305,0.20514144667333864
sp|P10277|PRIM_BPP4,0.12469535825808212,0.07510061349634492,0.03684181039443336,0.06801564995895389,0.01416992707478206,0.04250978122434618,0.053845722884171825,0.0949385114010398,0.02550586873460771,0.04109278851686797,0.10627445306086544,0.04959474476173721,0.026922861442085912,0.03400782497947694,0.05951369371408465,0.06093068642156286,0.0708496353739103,0.01700391248973847,0.032590832271998736,0.06659865725147568,4.640894566179591e-06,2.795084227358163e-06,1.3711733945530612e-06,2.5313970360979592e-06,5.273743825204081e-07,1.5821231475612244e-06,2.004022653577551e-06,3.5334083628867346e-06,9.492738885367346e-07,1.5293857093091836e-06,3.955307868903061e-06,1.8458103388214284e-06,1.0020113267887754e-06,1.2656985180489796e-06,2.214972406585714e-06,2.267709844837755e-06,2.636871912602041e-06,6.328492590244898e-07,1.2129610797969386e-06,2.478659597845918e-06,0.1880821670257652,0.20558062697432597,0.19793517126299573,0.20101206890380952,0.2059729731256254,0.1899674248754533,0.20303924274523363,0.19240426368476535,0.20455193705533606,0.21003707890177342
